distance_ft,direction,std_magnetic,std_magnetic_peak,std_electric,std_electric_peak,wtd_magnetic,wtd_magnetic_peak,wtd_electric,wtd_electric_peak,rf,rf_peak,obstacle,obstacle_note
0,N,0.1,0.2,0.0,0.0,0.1,0.1,0.0,1.0,0.163,0.120,FALSE,
0,S,0.1,0.2,0.0,0.0,0.1,0.2,0.0,1.0,0.093,0.117,FALSE,
0,E,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.119,0.159,FALSE,
0,W,0.1,0.3,0.0,0.0,0.2,0.1,0.0,0.0,0.051,0.050,FALSE,
0,NE,0.1,0.2,0.0,0.0,0.1,0.2,0.0,0.0,0.012,0.026,FALSE,
0,NW,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.070,0.103,FALSE,
0,SE,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.031,0.037,FALSE,
0,SW,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.117,0.148,FALSE,
5,N,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.088,0.106,FALSE,
5,S,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.073,0.092,FALSE,
5,E,0.1,0.2,0.0,0.0,0.2,0.3,0.0,0.0,0.107,0.195,FALSE,
5,W,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.169,0.162,FALSE,
5,NE,0.1,0.2,0.0,0.0,0.1,0.2,0.0,0.0,0.044,0.331,FALSE,
5,NW,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.138,0.236,FALSE,
5,SE,0.1,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.081,0.247,FALSE,
5,SW,0.1,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.112,0.137,FALSE,
10,N,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.208,0.194,FALSE,
10,S,0.1,0.2,0.0,0.0,0.1,0.1,0.0,2.0,0.045,0.063,FALSE,
10,E,0.1,0.3,0.0,0.0,0.1,0.2,1.0,2.0,0.168,0.351,FALSE,
10,W,0.1,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.278,0.316,FALSE,
10,NE,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.162,0.213,FALSE,
10,NW,0.1,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.093,0.132,FALSE,
10,SE,0.1,0.2,0.0,0.0,0.1,0.2,0.0,0.0,0.074,0.299,FALSE,
10,SW,0.1,0.4,0.0,0.0,0.1,0.1,0.0,0.0,0.066,0.120,FALSE,
20,N,0.1,0.2,0.1,1.0,0.1,0.1,1.0,2.0,0.084,0.104,FALSE,
20,S,0.1,0.2,0.0,0.0,0.1,0.2,0.0,2.0,0.090,0.114,FALSE,
20,E,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.119,0.141,FALSE,
20,W,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.088,0.104,FALSE,
20,NE,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.052,0.182,FALSE,
20,NW,0.21,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.130,0.214,FALSE,
20,SE,,,,,,,,,,,TRUE,Tank obstacle (7.2988/5.14667)
20,SW,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.110,0.115,FALSE,
30,N,0.1,0.2,0.0,0.0,0.1,0.2,0.1,1.0,0.196,0.310,FALSE,
30,S,0.1,0.2,0.0,0.0,0.2,0.2,0.1,1.0,0.132,0.293,FALSE,
30,E,0.1,0.1,0.0,0.0,0.1,0.1,0.1,2.0,0.189,0.192,FALSE,
30,W,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.325,0.369,FALSE,
30,NE,,,,,,,,,,,TRUE,Building obstacle (7.29745/5.146269)
30,NW,,,,,,,,,,,TRUE,Building obstacle (7.296943/5.145196)
30,SE,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.172,0.198,FALSE,
30,SW,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.104,0.301,FALSE,
50,N,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.381,0.576,FALSE,
50,S,0.1,0.2,0.0,1.0,0.2,0.2,1.0,2.0,0.238,0.322,FALSE,
50,E,0.1,0.1,0.0,0.0,0.1,0.1,0.0,2.0,0.189,0.192,FALSE,
50,W,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.294,0.375,FALSE,
50,NE,,,,,,,,,,,TRUE,Building obstacle (7.29745/5.146269)
50,NW,,,,,,,,,,,TRUE,Building obstacle (7.296943/5.145196)
50,SE,,,,,,,,,,,TRUE,Building obstacle (7.296373/5.146753)
50,SW,,,,,,,,,,,TRUE,Building obstacle (7.297310/5.147483)
75,N,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.381,0.576,FALSE,
75,S,0.1,0.2,0.0,0.0,0.1,0.1,0.0,1.0,0.156,0.196,FALSE,
75,E,0.0,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.165,0.117,FALSE,
75,W,0.1,0.2,0.0,0.0,0.7,0.1,0.0,0.0,0.061,0.102,FALSE,
75,NE,,,,,,,,,,,TRUE,Building obstacle (7.29745/5.146269)
75,NW,,,,,,,,,,,TRUE,Building obstacle (7.296943/5.145196)
75,SE,,,,,,,,,,,TRUE,Building obstacle (7.296373/5.146753)
75,SW,,,,,,,,,,,TRUE,Building obstacle (7.297310/5.147483)
100,N,0.1,0.3,0.0,0.0,0.2,0.2,0.0,0.0,0.468,0.310,FALSE,
100,S,0.1,0.2,0.0,0.0,0.1,0.1,1.0,2.0,0.152,0.167,FALSE,
100,E,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.071,0.062,FALSE,
100,W,0.0,0.1,0.0,0.0,0.2,0.1,1.0,2.0,0.643,0.831,FALSE,
100,NE,,,,,,,,,,,TRUE,Building obstacle (7.294/5.146269)
100,NW,,,,,,,,,,,TRUE,Building obstacle (7.296943/5.145196)
100,SE,,,,,,,,,,,TRUE,Building obstacle (7.296373/5.146753)
100,SW,,,,,,,,,,,TRUE,Building obstacle (7.2973101/5.147483)
