variable,unit,n,mean,std,distribution,parameters,ks_stat,ks_p_value,ad_stat,aic,sw_normal_W,sw_normal_p,sw_lognormal_W,sw_lognormal_p
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Normal,"μ=0.1541, σ=0.1185",0.19513152304373704,0.0413939175805178,2.8706934267154764,-65.9814451139698,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Lognormal,"s=0.7162, scale=0.1207",0.06522293941508539,0.9764831297412051,0.25419110206245676,-94.89854983048662,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Gamma,"a=2.1904, scale=0.0704",0.10318428064849683,0.6362477256471413,0.5648837075436859,-93.24063699888208,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Weibull,"c=1.4490, scale=0.1715",0.12115707818136956,0.43407464401920015,0.9244560546450558,-89.6627882614316,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Rayleigh,scale=0.1375,0.21786912782489898,0.016012720051316154,4.133053012762652,-79.62974540571433,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Exponential,scale=0.1542,0.20788393537037017,0.024622315792601768,3.0093045255050797,-81.19720600254436,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Nakagami,"nu=0.6411, scale=0.1945",0.16064375315577828,0.1427058402562782,1.503671463910777,-85.32871580827818,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Normal,"μ=0.2126, σ=0.1494",0.1715649124244169,0.09900651206723177,2.1304286420486775,-43.27777255193283,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Lognormal,"s=0.6780, scale=0.1711",0.10066142133550873,0.6661514471608709,0.3915264320516343,-66.02633279810705,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Gamma,"a=2.4535, scale=0.0867",0.09059303165304222,0.7824899872900684,0.46901648799552476,-65.3367892727773,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Weibull,"c=1.5573, scale=0.2383",0.11201041914317394,0.5333700405134915,0.7556407698431542,-61.89558264094018,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Rayleigh,scale=0.1838,0.19200465612446316,0.04677699915828215,2.3824541776378325,-57.02848821993148,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Exponential,scale=0.2127,0.2587906650432591,0.00220651603150146,3.500261329867598,-49.69527180218132,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Nakagami,"nu=0.7202, scale=0.2599",0.1378645495613791,0.2825918559992522,1.0903267858840877,-58.993417753316805,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
Standard Magnetic Field,mG,49,0.10020408163265307,0.02961487491661126,Normal,"μ=0.1002, σ=0.0293",0.46196132650289246,4.3050133485714236e-10,14.72569827080936,-202.86326308424483,0.3872078670573217,5.186330020750963e-13,0.20817835613207414,1.6872365640676646e-14
Standard Magnetic Field,mG,49,0.10020408163265307,0.02961487491661126,Lognormal,"s=1.3803, scale=0.0777",0.5318190887731488,1.824067294783557e-13,16.695307243566447,-73.67794863693697,0.3872078670573217,5.186330020750963e-13,0.20817835613207414,1.6872365640676646e-14
Standard Magnetic Field,mG,49,0.10020408163265307,0.02961487491661126,Gamma,"a=2.1142, scale=0.0474",0.5494845729838964,2.027123530724342e-14,16.538963667755624,-134.331733611584,0.3872078670573217,5.186330020750963e-13,0.20817835613207414,1.6872365640676646e-14
Standard Magnetic Field,mG,49,0.10020408163265307,0.02961487491661126,Weibull,"c=2.4825, scale=0.1063",0.5366320679623209,1.0123858696147519e-13,16.318114912077846,-159.3293599257746,0.3872078670573217,5.186330020750963e-13,0.20817835613207414,1.6872365640676646e-14
